cust_id,lookalikes
C0001,"[('C0107', 0.9994933387958866), ('C0152', 0.999004970446811), ('C0011', 0.9989139782822668)]"
C0002,"[('C0142', 0.9976605503010101), ('C0186', 0.9896384530628624), ('C0134', 0.9860856014906119)]"
C0003,"[('C0001', 0.9956831102879917), ('C0011', 0.9952115359163813), ('C0107', 0.9948340809272057)]"
C0004,"[('C0012', 0.9954455155745482), ('C0099', 0.9940281808188286), ('C0165', 0.9937592574659854)]"
C0005,"[('C0159', 0.999640501578457), ('C0186', 0.9982113034988325), ('C0007', 0.9938999917822654)]"
C0006,"[('C0158', 0.9965844078301995), ('C0187', 0.9951007145728931), ('C0096', 0.9918255431538735)]"
C0007,"[('C0115', 0.9951287586014893), ('C0159', 0.9948412736763792), ('C0005', 0.9938999917822654)]"
C0008,"[('C0098', 0.9903773294670914), ('C0109', 0.9847725960919569), ('C0049', 0.9838013050672478)]"
C0009,"[('C0198', 0.9884721091274982), ('C0062', 0.9745101829456513), ('C0199', 0.9715906190338169)]"
C0010,"[('C0199', 0.9955289426761114), ('C0069', 0.9879843764141664), ('C0062', 0.9875185094884084)]"
C0011,"[('C0107', 0.999729406002631), ('C0001', 0.9989139782822668), ('C0152', 0.9973531956897521)]"
C0012,"[('C0155', 0.9991501675861463), ('C0108', 0.9981749308828619), ('C0013', 0.9977494143303384)]"
C0013,"[('C0155', 0.9987805133649971), ('C0012', 0.9977494143303384), ('C0099', 0.9972740465988373)]"
C0014,"[('C0060', 0.9821263271419477), ('C0063', 0.9541414628266), ('C0198', 0.9416734364673369)]"
C0015,"[('C0144', 0.9930754116143674), ('C0131', 0.9908051610765325), ('C0042', 0.9830777960023828)]"
C0016,"[('C0183', 0.9990600312592168), ('C0026', 0.9946959731946161), ('C0035', 0.9930538381096073)]"
C0017,"[('C0075', 0.9936070972825356), ('C0041', 0.9889334070695153), ('C0051', 0.9884124568002746)]"
C0018,"[('C0026', 0.9902441046378769), ('C0183', 0.9898959452301381), ('C0079', 0.9891081729051107)]"
C0019,"[('C0069', 0.9859071972059947), ('C0010', 0.985570670017464), ('C0199', 0.9824449049424495)]"
C0020,"[('C0050', 0.9387995651893959), ('C0058', 0.9384369094533254), ('C0042', 0.937836865859503)]"
